Year,Week,Sex,Age,Deaths
2000,12,m,90,239.54216321536998
2000,12,m,95,40.25918709502017
2000,12,m,TOT,22212.0
2000,12,m,UNK,143.0
2000,12,f,0,179.36785509462817
2000,12,f,1,35.07192697380998
2000,12,f,5,15.030825845918562
2000,12,f,10,26.053431466258843
2000,12,f,15,76.15618428598738
2000,12,f,20,108.22194609061366
2000,12,f,25,118.24249665455936
2000,12,f,30,135.27743261326705
2000,12,f,35,228.46855285796215
2000,12,f,40,410.842573121774
2000,12,f,45,592.2145383291913
2000,12,f,50,638.3090709233417
2000,12,f,55,717.4714203785127
2000,12,f,60,1584.2490441598165
2000,12,f,65,1889.8758363601605
2000,12,f,70,3303.7755209329002
2000,12,f,75,3204.5720703498373
2000,12,f,80,2761.663735423437
2000,12,f,85,3189.5412445039187
2000,12,f,90,1386.844198050086
2000,12,f,95,365.75009558401837
2000,12,f,TOT,20967.0
2000,12,f,UNK,43.0
2000,12,b,0,406.0
2000,12,b,1,97.0
2000,12,b,5,52.0
2000,12,b,10,93.0
2000,12,b,15,277.0
2000,12,b,20,547.0
2000,12,b,25,633.0
2000,12,b,30,714.0
2000,12,b,35,1180.0
2000,12,b,40,1817.0
2000,12,b,45,2321.0
2000,12,b,50,2520.0
2000,12,b,55,2231.0
2000,12,b,60,4630.0
2000,12,b,65,4550.0
2000,12,b,70,6511.0
2000,12,b,75,4731.0
2000,12,b,80,3657.0
2000,12,b,85,3999.0
2000,12,b,90,1622.0
2000,12,b,95,405.0
2000,12,b,TOT,43179.0
2000,12,b,UNK,186.0
2000,13,m,0,237.4648275862069
2000,13,m,1,63.39103448275862
2000,13,m,5,42.26068965517241
2000,13,m,10,69.42827586206897
2000,13,m,15,217.3406896551724
2000,13,m,20,422.60689655172416
2000,13,m,25,551.4013793103449
2000,13,m,30,624.8544827586206
2000,13,m,35,950.8655172413793
2000,13,m,40,1440.888275862069
2000,13,m,45,1808.1537931034484
2000,13,m,50,1817.2096551724137
2000,13,m,55,1470.068275862069
2000,13,m,60,2949.1924137931032
2000,13,m,65,2547.7158620689656
2000,13,m,70,3134.3344827586207
2000,13,m,75,1511.3227586206897
2000,13,m,80,953.8841379310345
2000,13,m,85,768.7420689655172
2000,13,m,90,257.5889655172414
2000,13,m,95,46.28551724137931
2000,13,m,TOT,21885.0
2000,13,m,UNK,135.0
2000,13,f,0,158.3966062553341
2000,13,f,1,44.11044731161203
2000,13,f,5,18.04518299111401
2000,13,f,10,30.07530498519002
2000,13,f,15,78.19579296149405
2000,13,f,20,104.26105728199207
2000,13,f,25,105.26356744816506
2000,13,f,30,119.29870977458708
2000,13,f,35,230.57733821979016
2000,13,f,40,393.98649530598925
2000,13,f,45,532.3328982378633
2000,13,f,50,627.5713640242984
2000,13,f,55,624.5638335257794
2000,13,f,60,1513.790350921231
2000,13,f,65,1779.4555449570762
2000,13,f,70,3255.150509563733
2000,13,f,75,3070.688638987901
2000,13,f,80,2617.5540438777048
