Patronim,Sex,count
владимир,1,429
гасанович,1,429
насибуллович,1,428
галиуллович,1,427
арсланович,1,427
нургалеевич,1,426
шамилевич,1,426
артуровна,0,425
ганиевич,1,424
феодосьевич,1,424
назиповна,0,423
хасяновна,0,422
шайхутдиновна,0,421
ерофеевич,1,421
мубаракович,1,421
галлямовна,0,421
калистратович,1,421
магсумович,1,420
давлетович,1,420
корнилович,1,420
набиулловна,0,420
агеевна,0,419
гайнуллович,1,419
минибаевич,1,416
кирилович,1,416
антипович,1,415
димитриевна,0,415
альфредович,1,414
саитовна,0,412
халиулловна,0,411
сабитовна,0,411
мударисовна,0,409
фаттахович,1,409
наильевич,1,408
идиятович,1,407
шафикович,1,407
саматович,1,406
нурлыгаяновна,0,406
сафиевна,0,406
мухтаровна,0,404
федосович,1,402
шарифович,1,401
галиахметович,1,400
булатович,1,400
насибулловна,0,399
рафиковна,0,399
рифкатович,1,399
юльевна,0,398
хасянович,1,398
пименовна,0,396
муллагалиевич,1,396
гусманович,1,395
арменакович,1,395
лукманович,1,395
магометовна,0,394
сафиевич,1,394
севостьяновна,0,394
рифгатович,1,394
логинович,1,393
пахомовна,0,393
мухамедовна,0,393
габдулхаковна,0,393
гатауллович,1,392
калинович,1,391
вартанович,1,390
губайдулловна,0,390
ярулловна,0,389
халиуллович,1,389
расулович,1,388
минниахметович,1,387
адгамович,1,386
гайфулловна,0,386
хамзинович,1,386
панфилович,1,385
хачикович,1,385
ильдарович,1,385
файзулловна,0,384
талгатовна,0,383
кашапович,1,382
яруллович,1,382
тимергалиевич,1,381
епифанович,1,381
пименович,1,381
хабировна,0,380
ильдусович,1,380
рустамович,1,379
саидович,1,378
мулланурович,1,378
ермиловна,0,378
вахитович,1,378
нуриевна,0,378
гильманович,1,377
зинурович,1,376
алимович,1,376
авдеевна,0,375
акрамовна,0,375
абдурахмановна,0,374
фаттаховна,0,374
миновна,0,373
махмудовна,0,373
халитович,1,373
сабирьяновна,0,372
кабировна,0,371
марсович,1,371
асхатовна,0,370
асгатович,1,370
галимуллович,1,370
нургалеевна,0,370
евстигнеевич,1,369
кашаповна,0,367
набиевна,0,367
ганиевна,0,367
варламовна,0,367
имамутдиновна,0,367
кадыровна,0,367
абзалович,1,366
минниахметовна,0,366
рашидовна,0,365
имамутдинович,1,365
яхиевич,1,364
ринатовна,0,364
минигалиевич,1,364
юсуфович,1,364
маликовна,0,363
муллагалиевна,0,363
муллаянович,1,363
арслановна,0,363
рахимзянович,1,363
латыповна,0,362
ооловна,0,361
сайфулловна,0,361
израилевич,1,361
равильевна,0,361
касымович,1,361
мингазович,1,360
османовна,0,359
шайдуллович,1,359
анатолиевич,1,358
абубакирович,1,358
фагимович,1,358
гареевна,0,358
масгутович,1,358
гатаулловна,0,357
хуснулловна,0,357
губайдуллович,1,357
фазыловна,0,356
израилевна,0,355
гайнулловна,0,355
киреевна,0,355
ахнафович,1,354
валиулловна,0,354
гараевич,1,354
азатович,1,354
ягафарович,1,354
гильмановна,0,353
авдеевич,1,352
харлампиевна,0,352
фаизович,1,352
клементьевна,0,352
низамович,1,351
габидуллович,1,351
абдулаевич,1,351
суреновна,0,350
карамовна,0,349
нуртдиновна,0,349
мухаметдинович,1,349
аюповна,0,349
мустафович,1,348
айратович,1,348
пимоновна,0,347
гайнетдиновна,0,347
хазиахметовна,0,347
камалетдиновна,0,346
рамилевич,1,346
фирсовна,0,345
филиповна,0,345
нагимовна,0,345
аксентьевна,0,345
мария,0,345
минович,1,344
галиахметовна,0,344
рафисович,1,343
агеевич,1,342
мазитовна,0,342
людвигович,1,342
нуртдинович,1,341
кимовна,0,340
гайнетдинович,1,338
вильгельмович,1,337
камиловна,0,337
арефьевна,0,337
шайдулловна,0,337
шакирьянович,1,336
